frame,timestamp_s,pitch_deg,yaw_deg,roll_deg,is_nod
382,15.917,3.07,14.24,164.68,0
383,15.958,3.69,14.92,164.64,0
384,16.000,3.26,14.50,164.74,0
385,16.042,3.43,14.63,164.84,0
386,16.083,3.51,14.55,164.83,0
387,16.125,2.50,15.31,164.76,0
388,16.167,2.77,15.23,164.70,0
389,16.208,6.20,10.42,165.25,0
390,16.250,6.40,8.01,165.16,0
391,16.292,7.75,2.67,165.10,0
392,16.333,8.66,1.63,165.09,0
393,16.375,9.61,1.45,165.14,1
394,16.417,9.17,1.74,165.51,0
395,16.458,9.56,3.69,165.82,0
396,16.500,9.11,6.37,166.39,0
397,16.542,7.68,8.01,166.72,0
398,16.583,7.77,10.09,166.95,1
399,16.625,6.01,12.78,167.09,0
400,16.667,6.42,12.46,167.35,0
401,16.708,6.08,13.04,167.39,0
402,16.750,6.44,12.38,167.26,0
403,16.792,6.41,12.60,167.36,1
404,16.833,7.89,10.82,167.45,0
405,16.875,8.61,7.86,167.49,0
406,16.917,10.51,6.30,167.45,0
407,16.958,10.15,3.88,167.54,0
408,17.000,10.26,3.64,167.55,1
409,17.042,12.49,2.99,168.25,0
410,17.083,20.21,0.89,-11.17,0
411,17.125,19.96,1.61,-10.84,0
412,17.167,20.75,2.44,-10.08,0
413,17.208,20.65,3.49,-10.01,1
414,17.250,19.43,4.97,-9.20,0
415,17.292,18.60,7.31,-8.42,0
416,17.333,19.14,7.37,-8.43,0
417,17.375,19.46,7.59,-8.26,0
418,17.417,19.21,7.90,-8.19,1
419,17.458,18.74,7.29,-8.38,0
420,17.500,18.90,5.35,-8.68,0
421,17.542,19.36,4.87,-8.87,0
422,17.583,19.99,3.93,-8.90,0
423,17.625,20.42,2.95,-9.28,1
424,17.667,20.67,1.12,-10.00,0
425,17.708,21.32,0.30,-9.79,0
426,17.750,20.37,0.07,-9.60,0
427,17.792,20.57,0.43,-9.15,0
428,17.833,19.77,0.82,-8.70,1
429,17.875,7.66,4.16,170.77,0
430,17.917,6.78,8.12,171.13,0
431,17.958,6.65,8.66,171.04,0
432,18.000,6.40,10.81,171.25,0
433,18.042,6.22,11.44,171.21,0
434,18.083,5.87,11.15,171.03,0
435,18.125,16.24,8.64,-7.16,0
436,18.167,5.16,12.42,170.66,0
437,18.208,5.35,11.71,170.97,0
438,18.250,16.44,7.20,-7.06,0
439,18.292,5.06,9.31,171.44,0
440,18.333,5.27,8.65,171.60,0
441,18.375,5.54,4.32,171.93,0
442,18.417,5.22,3.91,172.18,0
443,18.458,4.89,4.98,172.43,0
444,18.500,14.55,5.84,-6.07,0
445,18.542,13.93,9.09,-5.32,0
446,18.583,12.54,11.53,-5.01,1
447,18.625,12.84,12.87,-4.32,0
448,18.667,12.73,13.26,-4.02,0
449,18.708,12.87,14.50,-3.32,0
450,18.750,12.99,14.42,-3.32,0
451,18.792,13.10,14.40,-3.24,1
452,18.833,13.26,13.78,-3.56,0
453,18.875,13.73,11.85,-4.19,0
454,18.917,12.75,10.56,-4.61,0
455,18.958,12.89,8.83,-5.08,0
456,19.000,13.41,5.14,-5.67,1
457,19.042,14.11,1.63,-6.04,0
458,19.083,3.50,-0.54,173.66,0
459,19.125,2.70,-3.19,173.98,0
460,19.167,13.33,-6.50,-6.90,0
461,19.208,13.29,-6.31,-6.64,0
462,19.250,12.96,-7.76,-7.02,0
463,19.292,12.96,-6.88,-6.52,0
464,19.333,13.27,-2.03,-5.70,0
465,19.375,12.97,2.27,-4.76,0
466,19.417,12.70,8.53,-3.86,0
467,19.458,11.08,9.75,-3.71,0
468,19.500,11.20,10.35,-3.75,1
469,19.542,11.11,11.48,-3.38,0
470,19.583,11.42,9.52,-3.75,0
471,19.625,12.16,6.47,-4.26,0
472,19.667,12.13,5.32,-4.35,0
473,19.708,13.03,3.70,-4.20,1
474,19.750,14.19,-2.92,-5.10,0
475,19.792,12.58,-5.74,-5.24,0
476,19.833,12.26,-6.87,-4.98,0
477,19.875,11.57,-8.81,-5.72,0
478,19.917,13.01,-10.71,-6.08,1
479,19.958,13.48,-10.22,-6.13,0
480,20.000,3.57,-8.29,175.88,0
481,20.042,3.65,-5.45,175.83,0
482,20.083,3.05,-6.25,176.09,0
